DBNs,Funding
21K690,5235494
24Q081,5918855
06M008,3414832
84K780,0
31R049,5282069
84K782,0
25Q285,3135132
31R044,4763946
31R045,4885701
31R046,1890488
30Q010,4946316
31R041,3571757
13K571,1204443
11X180,5038642
15K295,2123576
75Q177,0
75M169,0
84Q170,0
10X079,0
20K503,5416665
25Q129,5180616
01M332,1116171
28Q055,4036484
25Q281,3121525
17K002,2451842
32K274,3239312
22K109,3555350
08X371,2153070
20K185,4090161
20K186,4368519
20K187,5328396
20K229,4414945
12X245,2230157
20K227,7606570
20K220,7552363
20K223,4472853
75K036,0
29Q118,3683628
28Q139,4753797
12X372,2214769
84X378,0
30Q122,6652294
14K157,2530447
30Q127,6816312
75R373,0
25Q120,4238979
06M293,2994393
27Q146,4818836
32K162,3588980
75M094,0
08X131,4715855
32K296,3316974
27Q063,6388927
27Q060,5527050
13K336,1591342
27Q066,2834010
27Q064,3282878
27Q065,2879611
26Q094,2091929
07X500,3381843
07X025,2109731
26Q159,2790944
30Q166,5379106
75K811,0
17K006,3628211
26Q098,1375894
84M351,0
20K048,3195521
05M499,8005535
21K199,3440273
04M146,3336391
26Q158,5502154
29Q015,2501204
22K203,4487946
16K385,1760815
24Q239,4266597
22K207,6175733
22K206,6370098
30Q017,3399930
22K198,3165781
12X102,5240833
19K273,2724469
30Q011,6260499
09X204,2191464
22K193,4387284
10X246,4015333
22K195,1928526
22K194,2663303
22K197,3383986
32K045,4081886
10X009,3730880
10X008,6909441
28Q896,2523179
13K044,2133945
30Q152,6708798
21K468,2249207
30Q150,6438370
30Q151,3151561
