School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K650,14K488,Brooklyn Preparatory High School,K488,257 NORTH  6 STREET,K,14,489,257 NORTH  6 STREET CONSOLIDATED LOCATION,3,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K650,,257 NORTH  6 STREET CONSOLIDATED LOCATION,,257 NORTH  6 STREET,K,14,"1,736",257 NORTH  6 STREET CONSOLIDATED LOCATION,3,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,1,8,24,5,4,1501-1750,8C,0.81,3.95,6.51,2.30,1.78
2013-14,K655,15K447,The Math & Science Exploratory School,K447,345 DEAN STREET,K,15,514,345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K655,15K656,Brooklyn High School of the Arts,K656,345 DEAN STREET,K,15,815,345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,751-1000,5C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K655,,345 DEAN STREET CONSOLIDATED LOCATION,,345 DEAN STREET,K,15,"1,329",345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,1,8,3,7,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K660,19K660,W. H. Maxwell Career and Technical Education High,K660,145 PENNSYLVANIA AVENUE,K,19,463,,1,W. H. Maxwell Career and Technical Education High,0,8,12,0,6,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K721,21K690,Brooklyn Studio Secondary School,K690,8310 21ST AVENUE,K,21,902,,1,Brooklyn Studio Secondary School,0,3,4,1,1,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K722,75K721,P.S. K721 - Brooklyn Occupational Training Center,K721,64 AVENUE X,K,21,478,,1,P.S. K721 - Brooklyn Occupational Training Center,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K728,21K728,Liberation Diploma Plus,K728,2865 WEST 19TH STREET,K,21,196,,1,Liberation Diploma Plus,0,2,3,2,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K735,22K245,P.S. 245,K245,249 EAST 17TH STREET,K,22,296,,1,P.S. 245,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
